review_text,rating,review_date
"Delivery was terrible and very late, over a week behind schedule.",1,2026-03-02
"The battery drains way too fast, barely lasts half a day.",1,2026-03-05
"Customer service never responded to my support ticket.",1,2026-03-09
"Screen cracked after only two days of normal use, very disappointing.",1,2026-03-14
"Packaging was flimsy and the box arrived crushed.",2,2026-03-20
"It's an okay product, does what it says, nothing more.",3,2026-03-25
"Price is a bit high for what you actually get.",2,2026-04-01
"Delivery was terrible and very late, over a week behind schedule.",1,2026-04-04
"Average experience overall, works fine most of the time.",3,2026-04-10
"Battery life is decent, gets me through a full work day.",3,2026-04-16
"Customer support was slow but eventually solved my issue.",3,2026-04-22
"Screen quality is fine, nothing special but no complaints.",3,2026-04-28
"Really happy with the delivery speed this time, arrived early.",5,2026-05-03
"Battery lasts all day now, big improvement from before.",5,2026-05-09
"Great customer service, they resolved my issue within an hour.",5,2026-05-15
"Screen is bright and clear, very happy with the display quality.",4,2026-05-21
"Packaging was solid and the product arrived in perfect condition.",5,2026-05-27
"Price feels fair for the quality you're getting now.",4,2026-06-02
"Amazing value for the price, would definitely recommend to friends.",5,2026-06-08
"Battery life is excellent, easily lasts more than a full day.",5,2026-06-14
"Delivery was fast and the packaging was excellent this time.",5,2026-06-20
"Customer service team was friendly and very helpful throughout.",5,2026-06-26
"Screen quality is outstanding, colors look vivid and sharp.",5,2026-07-02
"Really happy with the delivery speed this time, arrived early.",5,2026-07-08
"Overall a solid product, minor issues but nothing major.",4,2026-07-14
"Battery still going strong after weeks of daily use.",5,2026-07-20
"Price is reasonable and the product feels well built.",4,2026-07-26
"Great experience end to end, from ordering to delivery.",5,2026-08-01
